feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,auc_original,mix_at_k_original,silhouette_original,js_divergence_original,auc_mean,auc_std,auc_min,auc_max,mix_at_k_mean,mix_at_k_std,mix_at_k_min,mix_at_k_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,delta_mix_at_k_mean,delta_mix_at_k_std,delta_mix_at_k_min,delta_mix_at_k_max,delta_silhouette_mean,delta_silhouette_std,delta_silhouette_min,delta_silhouette_max,delta_js_divergence_mean,delta_js_divergence_std,delta_js_divergence_min,delta_js_divergence_max
header,2024-09-22_2024-09-28,baseline,0.0,5,0,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.96490315525,0.0006413299880577524,0.9639686987499999,0.96592110125,0.08769550000000001,0.0006176860043743896,0.086855,0.0885,0.17734000835989855,0.0029199316588839,0.17415024750028624,0.18262907431727293,0.09468253612009263,0.00141280240334345,0.09271362629699581,0.09664806911101427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-22_2024-09-28,important,0.01,5,1,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.9228875827499999,0.020561721108516604,0.90695986875,0.9628989362499999,0.08813800000000001,0.000576092765967426,0.08745,0.08904,0.17125577849198628,0.00277173222309509,0.16785820262036333,0.17454501015239576,0.0946825360444344,0.0014128023646962228,0.09271362633364498,0.0966480690076236,-0.042015572499999966,0.020967987166550857,-0.05795808499999988,-0.0010697625000000155,0.00044249999999999845,0.000222279385009051,2.4999999999886224e-06,0.0005949999999999983,-0.006084229867912294,0.003247269248232392,-0.00809286575262122,0.000394762652109526,-7.565824078348271e-11,5.61647133139637e-11,-1.0571056530128686e-10,3.6649169810054616e-11
header,2024-09-22_2024-09-28,important,0.05,5,4,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.8861930499999998,0.03540864490412126,0.81697476875,0.9113007575000001,0.08810899999999999,0.001096053545681045,0.0867475,0.08964375,0.1737596238666447,0.003560842837502003,0.16951194003568798,0.1796788344198405,0.09446696524357574,0.0012979455200218396,0.09266017232023768,0.09628974662844969,-0.07871010524999995,0.035024092105286196,-0.14699392999999994,-0.0538197574999999,0.00041349999999999997,0.0006952335039395013,-0.00011999999999999511,0.0016312500000000008,-0.00358038449325388,0.001724766433940672,-0.006220662630973539,-0.0011297704510796203,-0.000215570876516899,0.0001184163276348823,-0.00035832248256457977,-5.3453976758127686e-05
header,2024-09-22_2024-09-28,important,0.1,5,8,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.879041336,0.019413892175814098,0.84830860125,0.9014690537500001,0.08991225,0.0017844563948160809,0.08795,0.09208375,0.1759187613598972,0.0026137808887376577,0.17349718496219038,0.17969673614851836,0.09392701014542974,0.0012118299067981487,0.0925034639517201,0.09563607007222917,-0.08586181924999992,0.019618163125284926,-0.11660935249999993,-0.062499644999999826,0.0022167500000000034,0.0023750524467893346,-0.00019874999999999754,0.005228750000000004,-0.0014212470000013633,0.001371536065971553,-0.0029323381687545724,0.0006690335450968976,-0.0007555259746628823,0.0006399617539284778,-0.001692798225298442,-0.00021016234527571065
header,2024-09-22_2024-09-28,random,0.01,100,1,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.9641617132500001,0.0024089873759755224,0.9472873074999999,0.96593645875,0.08782937499999997,0.0008176147759642067,0.08647,0.09123375,0.17760008259986956,0.003309871034074148,0.16881840959087102,0.1853494500467307,0.09374515379325908,0.008072164806510547,0.015178379588760204,0.0966496929033253,-0.0007414419999999344,0.0022087327057057505,-0.017630646249999993,0.00030567250000002044,0.00013387500000000218,0.000510671723688515,-0.0008375000000000049,0.0032237499999999975,0.00026007423997102233,0.0015055595318227647,-0.005331837909415216,0.0038170364014427915,-0.0009373823268335384,0.007743703985141282,-0.07753524670823561,9.06319994648519e-05
header,2024-09-22_2024-09-28,random,0.05,100,4,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.95699150655,0.014652140002645132,0.8845091887500001,0.9667342812499999,0.08806963750000003,0.0009001111961689785,0.08626,0.0914025,0.17784237004436443,0.004172269438301807,0.1657386564550479,0.1884641259745603,0.09360394893725564,0.02926550252148765,0.014867215240016855,0.3401900122435614,-0.007911648699999926,0.014679002354599307,-0.08040876499999983,0.0008131799999999689,0.0003741375000000012,0.0006806093706883186,-0.0006675000000000014,0.002953750000000005,0.0005023616844658321,0.00325909221174454,-0.008411591045238337,0.008119124592207927,-0.0010785871828369843,0.02900217827607117,-0.08084800047432918,0.24354194313254712
header,2024-09-22_2024-09-28,random,0.1,100,8,0.9649179537499999,0.086855,0.18262907431727293,0.09664806911101427,0.9505739638749999,0.02899714353527682,0.730219385,0.9648644362500001,0.0889810875,0.0015622438455531677,0.0865325,0.09320125,0.17832870954624425,0.0067539052461902125,0.16610438641937028,0.19215793735821987,0.09297886518464438,0.05780478622256157,0.004669444777037995,0.32211467407507544,-0.014329191374999918,0.028967072334260522,-0.2349011299999999,0.00019884000000014446,0.0012855875000000005,0.0013567796138167568,-0.0006737500000000007,0.0051912499999999945,0.0009887011863456625,0.005450341621483527,-0.013262454838958132,0.013453986367831822,-0.0017036709354482516,0.05778226796559591,-0.0903300275395731,0.22940104777807963
header,2024-09-29_2024-10-05,baseline,0.0,5,0,0.96792056125,0.085265,0.2011402302070201,0.09612877914319104,0.9684803264999999,0.0005177346888817579,0.96783199125,0.9691656949999999,0.08431274999999999,0.0009642508102148517,0.0827175,0.085265,0.201455680866156,0.0016661423969379456,0.1993911886368152,0.20449725594192683,0.09704258385742037,0.0008884280182130116,0.09612877914319104,0.09869504455689923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-29_2024-10-05,important,0.01,5,1,0.96792056125,0.085265,0.2011402302070201,0.09612877914319104,0.9231969404999999,0.02243859060166771,0.90705239875,0.9671541612500001,0.084927,0.0010599347267638685,0.08349125,0.08604375,0.1951752172377556,0.0038452098880358662,0.19125325721194628,0.20195183167224348,0.0970425837766066,0.0008884280115789362,0.09612877903146703,0.09869504444714366,-0.04528338600000006,0.0227398479773917,-0.061494392500000106,-0.0006778299999998794,0.0006142500000000051,0.0002529644243762331,0.00011375000000000968,0.0007787500000000086,-0.006280463628400424,0.003489015136732164,-0.008514011722581455,0.0006713108143559798,-8.081376678958918e-11,6.100312604551802e-11,-1.1277133393772232e-10,4.117667318226381e-11
header,2024-09-29_2024-10-05,important,0.05,5,4,0.96792056125,0.085265,0.2011402302070201,0.09612877914319104,0.8847892705,0.034041450638071145,0.81910030125,0.9095837099999999,0.0852195,0.0008917099444326067,0.0836175,0.08611625,0.19857422495935176,0.0035421314699918315,0.19314067683187053,0.20362094523440505,0.097135345867677,0.0008865644553221444,0.09620532137106078,0.0987813572109088,-0.083691056,0.033749142821017576,-0.14873168999999997,-0.05850020749999996,0.0009067500000000007,0.00036518026370547423,0.00026874999999999816,0.0013325000000000004,-0.0028814559068042534,0.002214716916041278,-0.006250511804944681,-0.0008017479034813646,9.276201025662234e-05,1.4089919106944946e-05,7.654222786973586e-05,0.00011797290926582327
