seed,test_week,feature_group,auc_rank,mix_at_k_rank,silhouette_rank,js_divergence_rank
42,2024-12-08_2024-12-14,strings,3,4,3,5
77,2024-09-22_2024-09-28,all,1,2,4,1
77,2024-09-22_2024-09-28,header,2,1,1,2
77,2024-09-22_2024-09-28,section,3,3,2,3
77,2024-09-22_2024-09-28,imports,5,5,5,4
77,2024-09-22_2024-09-28,strings,4,4,3,5
77,2024-09-29_2024-10-05,all,1,1,4,2
77,2024-09-29_2024-10-05,header,2,2,1,3
77,2024-09-29_2024-10-05,section,3,3,2,1
77,2024-09-29_2024-10-05,imports,5,5,5,4
77,2024-09-29_2024-10-05,strings,4,4,3,5
77,2024-10-06_2024-10-12,all,1,3,4,1
77,2024-10-06_2024-10-12,header,2,1,1,2
77,2024-10-06_2024-10-12,section,3,2,2,3
77,2024-10-06_2024-10-12,imports,5,5,5,4
77,2024-10-06_2024-10-12,strings,4,4,3,5
77,2024-10-13_2024-10-19,all,1,1,4,2
77,2024-10-13_2024-10-19,header,2,2,1,3
77,2024-10-13_2024-10-19,section,3,3,2,1
77,2024-10-13_2024-10-19,imports,5,5,5,4
77,2024-10-13_2024-10-19,strings,4,4,3,5
77,2024-10-20_2024-10-26,all,1,1,4,2
77,2024-10-20_2024-10-26,header,2,3,1,3
77,2024-10-20_2024-10-26,section,3,2,2,1
77,2024-10-20_2024-10-26,imports,5,5,5,4
77,2024-10-20_2024-10-26,strings,4,4,3,5
77,2024-10-27_2024-11-02,all,1,1,4,2
77,2024-10-27_2024-11-02,header,2,2,1,3
77,2024-10-27_2024-11-02,section,3,3,2,1
77,2024-10-27_2024-11-02,imports,5,5,5,4
77,2024-10-27_2024-11-02,strings,4,4,3,5
77,2024-11-03_2024-11-09,all,1,1,4,2
77,2024-11-03_2024-11-09,header,2,2,1,3
77,2024-11-03_2024-11-09,section,3,3,2,1
77,2024-11-03_2024-11-09,imports,5,5,5,4
77,2024-11-03_2024-11-09,strings,4,4,3,5
77,2024-11-10_2024-11-16,all,1,1,4,2
77,2024-11-10_2024-11-16,header,2,3,1,3
77,2024-11-10_2024-11-16,section,3,2,2,1
77,2024-11-10_2024-11-16,imports,5,5,5,4
77,2024-11-10_2024-11-16,strings,4,4,3,5
77,2024-11-17_2024-11-23,all,1,1,4,2
77,2024-11-17_2024-11-23,header,2,3,1,3
77,2024-11-17_2024-11-23,section,3,2,2,1
77,2024-11-17_2024-11-23,imports,5,5,5,4
77,2024-11-17_2024-11-23,strings,4,4,3,5
77,2024-11-24_2024-11-30,all,1,2,5,2
77,2024-11-24_2024-11-30,header,2,1,1,3
77,2024-11-24_2024-11-30,section,3,3,2,1
77,2024-11-24_2024-11-30,imports,5,5,4,4
77,2024-11-24_2024-11-30,strings,4,4,3,5
77,2024-12-01_2024-12-07,all,1,1,5,2
77,2024-12-01_2024-12-07,header,3,3,1,3
77,2024-12-01_2024-12-07,section,2,2,2,1
77,2024-12-01_2024-12-07,imports,5,5,3,4
77,2024-12-01_2024-12-07,strings,4,4,4,5
77,2024-12-08_2024-12-14,all,1,1,5,2
77,2024-12-08_2024-12-14,header,2,2,1,3
77,2024-12-08_2024-12-14,section,3,3,2,1
77,2024-12-08_2024-12-14,imports,5,5,4,4
77,2024-12-08_2024-12-14,strings,4,4,3,5
123,2024-09-22_2024-09-28,all,1,1,4,1
123,2024-09-22_2024-09-28,header,2,2,1,2
123,2024-09-22_2024-09-28,section,3,3,2,3
123,2024-09-22_2024-09-28,imports,5,5,5,4
123,2024-09-22_2024-09-28,strings,4,4,3,5
123,2024-09-29_2024-10-05,all,1,1,4,2
123,2024-09-29_2024-10-05,header,3,2,1,3
123,2024-09-29_2024-10-05,section,2,3,2,1
123,2024-09-29_2024-10-05,imports,5,5,5,4
123,2024-09-29_2024-10-05,strings,4,4,3,5
123,2024-10-06_2024-10-12,all,1,2,4,1
123,2024-10-06_2024-10-12,header,3,1,1,2
123,2024-10-06_2024-10-12,section,2,3,2,3
123,2024-10-06_2024-10-12,imports,5,5,5,4
123,2024-10-06_2024-10-12,strings,4,4,3,5
123,2024-10-13_2024-10-19,all,1,1,4,2
123,2024-10-13_2024-10-19,header,3,2,1,3
123,2024-10-13_2024-10-19,section,2,3,2,1
123,2024-10-13_2024-10-19,imports,5,5,5,4
123,2024-10-13_2024-10-19,strings,4,4,3,5
123,2024-10-20_2024-10-26,all,1,1,4,2
123,2024-10-20_2024-10-26,header,3,2,1,3
123,2024-10-20_2024-10-26,section,2,3,2,1
123,2024-10-20_2024-10-26,imports,5,5,5,4
123,2024-10-20_2024-10-26,strings,4,4,3,5
123,2024-10-27_2024-11-02,all,1,1,4,2
123,2024-10-27_2024-11-02,header,3,2,1,3
123,2024-10-27_2024-11-02,section,2,3,2,1
123,2024-10-27_2024-11-02,imports,5,5,5,4
123,2024-10-27_2024-11-02,strings,4,4,3,5
123,2024-11-03_2024-11-09,all,1,1,4,2
123,2024-11-03_2024-11-09,header,2,2,1,3
123,2024-11-03_2024-11-09,section,3,3,2,1
123,2024-11-03_2024-11-09,imports,5,5,5,4
123,2024-11-03_2024-11-09,strings,4,4,3,5
123,2024-11-10_2024-11-16,all,1,1,4,2
123,2024-11-10_2024-11-16,header,2,2,1,3
123,2024-11-10_2024-11-16,section,3,3,2,1
123,2024-11-10_2024-11-16,imports,5,5,5,4
123,2024-11-10_2024-11-16,strings,4,4,3,5
123,2024-11-17_2024-11-23,all,1,1,4,2
123,2024-11-17_2024-11-23,header,2,3,1,3
123,2024-11-17_2024-11-23,section,3,2,2,1
123,2024-11-17_2024-11-23,imports,5,5,5,4
123,2024-11-17_2024-11-23,strings,4,4,3,5
123,2024-11-24_2024-11-30,all,1,1,5,2
123,2024-11-24_2024-11-30,header,2,2,1,3
123,2024-11-24_2024-11-30,section,3,3,2,1
123,2024-11-24_2024-11-30,imports,5,5,4,4
123,2024-11-24_2024-11-30,strings,4,4,3,5
123,2024-12-01_2024-12-07,all,1,1,5,2
123,2024-12-01_2024-12-07,header,3,3,1,3
123,2024-12-01_2024-12-07,section,2,2,2,1
123,2024-12-01_2024-12-07,imports,5,5,3,4
123,2024-12-01_2024-12-07,strings,4,4,4,5
123,2024-12-08_2024-12-14,all,1,1,5,2
123,2024-12-08_2024-12-14,header,3,3,1,3
123,2024-12-08_2024-12-14,section,2,2,2,1
123,2024-12-08_2024-12-14,imports,5,5,4,4
123,2024-12-08_2024-12-14,strings,4,4,3,5
2024,2024-09-22_2024-09-28,all,1,1,4,1
2024,2024-09-22_2024-09-28,header,3,2,1,2
2024,2024-09-22_2024-09-28,section,2,3,2,3
2024,2024-09-22_2024-09-28,imports,5,5,5,4
2024,2024-09-22_2024-09-28,strings,4,4,3,5
2024,2024-09-29_2024-10-05,all,1,1,3,2
2024,2024-09-29_2024-10-05,header,3,2,1,3
2024,2024-09-29_2024-10-05,section,2,3,2,1
2024,2024-09-29_2024-10-05,imports,5,5,5,4
2024,2024-09-29_2024-10-05,strings,4,4,4,5
2024,2024-10-06_2024-10-12,all,1,3,4,1
2024,2024-10-06_2024-10-12,header,3,2,1,2
2024,2024-10-06_2024-10-12,section,2,1,2,3
2024,2024-10-06_2024-10-12,imports,5,5,5,4
2024,2024-10-06_2024-10-12,strings,4,4,3,5
2024,2024-10-13_2024-10-19,all,1,1,4,2
2024,2024-10-13_2024-10-19,header,3,2,1,3
2024,2024-10-13_2024-10-19,section,2,3,2,1
2024,2024-10-13_2024-10-19,imports,5,5,5,4
2024,2024-10-13_2024-10-19,strings,4,4,3,5
2024,2024-10-20_2024-10-26,all,1,1,4,2
2024,2024-10-20_2024-10-26,header,3,2,1,3
2024,2024-10-20_2024-10-26,section,2,3,2,1
2024,2024-10-20_2024-10-26,imports,5,5,5,4
2024,2024-10-20_2024-10-26,strings,4,4,3,5
2024,2024-10-27_2024-11-02,all,1,1,4,2
2024,2024-10-27_2024-11-02,header,3,2,1,3
2024,2024-10-27_2024-11-02,section,2,3,2,1
2024,2024-10-27_2024-11-02,imports,5,5,5,4
2024,2024-10-27_2024-11-02,strings,4,4,3,5
2024,2024-11-03_2024-11-09,all,1,1,4,2
2024,2024-11-03_2024-11-09,header,2,2,1,3
2024,2024-11-03_2024-11-09,section,3,3,2,1
2024,2024-11-03_2024-11-09,imports,5,5,5,4
2024,2024-11-03_2024-11-09,strings,4,4,3,5
2024,2024-11-10_2024-11-16,all,1,1,4,2
2024,2024-11-10_2024-11-16,header,2,3,1,3
2024,2024-11-10_2024-11-16,section,3,2,2,1
2024,2024-11-10_2024-11-16,imports,5,5,5,4
