feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,auc_original,mix_at_k_original,silhouette_original,js_divergence_original,auc_mean,auc_std,auc_min,auc_max,mix_at_k_mean,mix_at_k_std,mix_at_k_min,mix_at_k_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,delta_mix_at_k_mean,delta_mix_at_k_std,delta_mix_at_k_min,delta_mix_at_k_max,delta_silhouette_mean,delta_silhouette_std,delta_silhouette_min,delta_silhouette_max,delta_js_divergence_mean,delta_js_divergence_std,delta_js_divergence_min,delta_js_divergence_max
header,2024-09-22_2024-09-28,baseline,0.0,5,0,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.9651757026666667,0.00029919758105048904,0.9648456111111111,0.9656491311111111,0.07058622222222223,2.1926926904079552e-05,0.07056666666666667,0.0706288888888889,0.18364857132523144,0.00040358917456295723,0.18318832475370392,0.18429753705844842,0.09497381391460943,0.0,0.09497381391460943,0.09497381391460943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-22_2024-09-28,important,0.01,5,1,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.9231280635555554,0.020913778286390336,0.9074762777777778,0.9639128422222222,0.07082222222222222,0.00013877061630841584,0.0705511111111111,0.07092888888888889,0.17699893340466785,0.0035544190259312073,0.17475649400191018,0.18406697399142624,0.09497381383904166,5.600789831916696e-11,0.0949738138110377,0.09497381395105745,-0.04204763911111107,0.021059345170300968,-0.05736933333333327,-0.0009542933333333004,0.00023599999999999454,0.0001328390839407683,-2.6666666666674832e-05,0.0003377777777777702,-0.006649637920563572,0.0035294024802475007,-0.008469732110326145,0.0004087534427573425,-7.556778536255137e-11,5.6007898319165866e-11,-1.0357173452213431e-10,3.6448011275780345e-11
header,2024-09-22_2024-09-28,important,0.05,5,4,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.8858566764444443,0.03569031069755321,0.8161260444444444,0.9108903822222221,0.07180533333333335,0.00048209747490382207,0.07107555555555556,0.07230666666666667,0.17952236485073658,0.0020747076281592797,0.17612395603940392,0.1812975740292576,0.09477208793385807,9.475636593397838e-05,0.09467079744570672,0.09492371187051668,-0.07931902622222223,0.03554255425494734,-0.1487410911111111,-0.054758748888888986,0.0012191111111111096,0.00047987776221311513,0.0004933333333333317,0.0017400000000000054,-0.004126206474494837,0.0019300150762034266,-0.007141116510444689,-0.001890750724446305,-0.00020172598075136606,9.475636593397838e-05,-0.0003030164689027115,-5.010204409275354e-05
header,2024-09-22_2024-09-28,important,0.1,5,8,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.8793005377777778,0.019383884578881374,0.8486494444444446,0.9025543511111112,0.07487022222222221,0.003203581514261585,0.07209777777777777,0.07883555555555556,0.1817962368170935,0.0013817824492014213,0.17961053531674492,0.18324979422878226,0.09425816342945173,0.0005965749129426224,0.09352743987026446,0.09474528539944099,-0.08587516488888877,0.01927432542393918,-0.11619616666666654,-0.062312784444444325,0.004283999999999996,0.00321025221885166,0.0015022222222222104,0.008260000000000003,-0.0018523345081379206,0.0012881414677498389,-0.0035777894369589947,-1.5278321066347633e-05,-0.0007156504851577067,0.0005965749129426224,-0.0014463740443449724,-0.0002285285151684413
header,2024-09-22_2024-09-28,random,0.01,100,1,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.9644398377111111,0.0022674625513232614,0.9473035555555556,0.9657677266666668,0.07078422222222223,0.0007203528285020218,0.07008,0.07553333333333333,0.18393671516132137,0.001624366327609106,0.17728990039069675,0.18734900204688787,0.0940152523396627,0.007995271514738545,0.01488443620826347,0.09506219777483545,-0.0007358649555555352,0.002192187864173245,-0.017542055555555547,0.0003098088888887629,0.00019799999999999817,0.0007213607511733169,-0.0004977777777777775,0.004955555555555546,0.0002881438360899946,0.0015726455458227313,-0.006368320157972146,0.00369078149821897,-0.0009585615749467261,0.007995271514738547,-0.08008937770634597,8.838386022601286e-05
header,2024-09-22_2024-09-28,random,0.05,100,4,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.9572786492000002,0.014712989555857701,0.8851608244444444,0.9661316288888888,0.0711225111111111,0.0009126462219391218,0.07009111111111112,0.07662,0.18407243117959166,0.0035136718715678174,0.17503014187221566,0.1920332992202238,0.09378733300853734,0.0286576987986626,0.01451442600492538,0.3324334201279815,-0.007897053466666632,0.01468610932223307,-0.07968478666666667,0.0008202222222222222,0.0005362888888888855,0.0009124009869501753,-0.0004911111111111088,0.006037777777777767,0.00042385985436020206,0.0035028330247220195,-0.008628078676453238,0.008375078671554903,-0.0011864809060720843,0.028657698798662604,-0.08045938790968406,0.23745960621337206
header,2024-09-22_2024-09-28,random,0.1,100,8,0.9648456111111111,0.07057555555555556,0.18383370171548727,0.09497381391460943,0.9508654946,0.028906078455678268,0.7308392444444445,0.9653191177777776,0.0723807777777778,0.0017997762926829834,0.07015111111111111,0.0775711111111111,0.18448823772167572,0.005709732067699026,0.16968850131119587,0.19779961900046994,0.09305036057232163,0.05769784172583388,0.004247995253100053,0.32596798386409687,-0.014310208066666625,0.028931793434245668,-0.23480988666666658,0.00011388888888874682,0.0017945555555555525,0.0017994021606640548,-0.0004266666666666724,0.006988888888888878,0.0008396663964443146,0.0057410280787996825,-0.014145200404291403,0.01414139845180104,-0.0019234533422877811,0.05769784172583388,-0.09072581866150937,0.23099416994948743
header,2024-09-29_2024-10-05,baseline,0.0,5,0,0.9679081511111113,0.06906888888888889,0.20362627094067598,0.09696048693613618,0.968255832888889,0.00029263817111386853,0.9679081511111113,0.9686664844444445,0.06909733333333333,1.5421645842574414e-05,0.06906888888888889,0.06911111111111111,0.20335665318915988,0.0004558428691909779,0.20293532449650967,0.20412238600009885,0.09696048693613618,0.0,0.09696048693613618,0.09696048693613618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-09-29_2024-10-05,important,0.01,5,1,0.9679081511111113,0.06906888888888889,0.20362627094067598,0.09696048693613618,0.922805144888889,0.022644300647250957,0.9065156266666667,0.9672165644444445,0.06939022222222221,9.756137669294467e-05,0.06919555555555555,0.0694488888888889,0.19728567417858608,0.0034641492613670458,0.19510022868822316,0.20416319328962546,0.09696048685561587,6.095439708531128e-11,0.09696048682513866,0.09696048697752466,-0.04545068799999998,0.022793451716699987,-0.06145311555555555,-0.0007177911111110324,0.00029288888888888973,9.596707254233982e-05,0.00010222222222221189,0.0003599999999999992,-0.006070979010573763,0.0035507770760024016,-0.007896235796266499,0.0010302028448346268,-8.052031819083539e-11,6.095439708531102e-11,-1.109975167334909e-10,4.1388475979786676e-11
header,2024-09-29_2024-10-05,important,0.05,5,4,0.9679081511111113,0.06906888888888889,0.20362627094067598,0.09696048693613618,0.8843398888888888,0.034473907778868634,0.81784408,0.9094897333333333,0.07039688888888888,0.00027421033649732246,0.07006,0.07069777777777778,0.20078478512962775,0.001978081603903989,0.19820502392582792,0.2027493975749754,0.09707064419986974,1.7436368893518966e-05,0.09704267473009764,0.09708924534637933,-0.08391594400000005,0.03432502323467634,-0.15009027555555554,-0.058938337777778016,0.0012995555555555538,0.00027546019855444605,0.0009533333333333338,0.0015911111111111126,-0.0025718680595320843,0.0017133817428874006,-0.004730300570681745,-0.0008235561979596517,0.0001101572637335707,1.7436368893518966e-05,8.218779396146347e-05,0.0001287584102431516
