mix_k,scope,feature_group,metric,mean,std,min,max
15,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
15,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
15,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
15,metric,strings,acc,0.9133571405510948,0.011986864482147372,0.8941534373033079,0.9348930800450189
15,metric,strings,f1,0.9066091971823427,0.013960060758211629,0.8837245035147697,0.9315500735056832
15,metric,strings,auc,0.9752248260031438,0.006572491371319545,0.9652695273814778,0.9865287479924588
15,metric,strings,positive_rate,0.4500101500774576,0.00958618236193192,0.4325826980907756,0.46382202259807703
15,metric,strings,mix_at_k,0.10147290281100461,0.007171236028527366,0.08648181621818264,0.11026278036320375
15,metric,strings,silhouette,0.05117337559986293,0.015128266281257461,0.03274733668189956,0.08667054501889825
15,metric,strings,js_divergence,0.00047702850517054017,0.00018206707678187353,0.0002520098782431169,0.00094427608477679
15,rank,strings,auc_rank,4.0,0.0,4.0,4.0
15,rank,strings,acc_rank,4.0,0.0,4.0,4.0
15,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
15,rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
15,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
15,metric,all,acc,0.9487236535348439,0.0071751586751483635,0.9332470802153997,0.9616657003512841
15,metric,all,f1,0.9450705266049652,0.008399770891140012,0.9265571500019236,0.9600426590828297
15,metric,all,auc,0.9909831025794735,0.0024401728051801448,0.9857506478817831,0.994789786560529
15,metric,all,positive_rate,0.4559962698607874,0.009933006893857357,0.4325826980907756,0.4709593806486818
15,metric,all,mix_at_k,0.07866313636125184,0.005391508960687459,0.0686743289792299,0.08562464280299054
15,metric,all,silhouette,0.038232888402047,0.01968876868203508,0.01693706582145977,0.08589104477764954
15,metric,all,js_divergence,0.08161310109536665,0.012899350029196226,0.06066059735500155,0.10107829624622962
15,rank,all,auc_rank,1.0,0.0,1.0,1.0
15,rank,all,acc_rank,1.05,0.21794494717703367,1.0,2.0
15,rank,all,mix_at_k_rank,1.35,0.6278269400612454,1.0,3.0
15,rank,all,silhouette_rank,4.083333333333333,0.4930066485916347,3.0,5.0
15,rank,all,js_divergence_rank,1.8333333333333333,0.372677996249965,1.0,2.0
20,metric,header,acc,0.9332391470715644,0.01083325332527229,0.909504161130149,0.9504450734968112
20,metric,header,f1,0.9279623496068174,0.01298233065843743,0.8987718063052491,0.948319402454206
20,metric,header,auc,0.9831527601776926,0.004655022741932377,0.9751100759755108,0.9900966599166726
20,metric,header,positive_rate,0.4504083174719422,0.014115120978029489,0.41849080355269597,0.470447801916715
20,metric,header,mix_at_k,0.08756036902253558,0.0065627258522902455,0.0765338835646806,0.0963434689807201
20,metric,header,silhouette,0.12103041119316033,0.039105979057229186,0.07182004170069839,0.2052412202235234
20,metric,header,js_divergence,0.08118852304310303,0.013029238071534437,0.06039933059953649,0.1007729307809958
20,rank,header,auc_rank,3.0,0.0,3.0,3.0
20,rank,header,acc_rank,3.0,0.0,3.0,3.0
20,rank,header,mix_at_k_rank,2.0166666666666666,0.6950219820664347,1.0,3.0
20,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
20,rank,header,js_divergence_rank,2.8333333333333335,0.372677996249965,2.0,3.0
20,metric,section,acc,0.9445848175573991,0.008402440670818119,0.9308079396142018,0.9587667542034719
20,metric,section,f1,0.9407765847229509,0.009636443810374238,0.9252964725432434,0.9569613043323484
20,metric,section,auc,0.9886653982702236,0.0032190354182679553,0.9828539549064444,0.9936571887438028
20,metric,section,positive_rate,0.4581210449257261,0.008019094331289023,0.4422337226379467,0.46990110609558594
20,metric,section,mix_at_k,0.08841642482652073,0.005718654602710975,0.07764400941304866,0.09808950628083558
20,metric,section,silhouette,0.08097726072916787,0.018442940345355225,0.05921981064702258,0.12413304836963601
20,metric,section,js_divergence,0.10351996533326167,0.03726262647343503,0.054519615560427184,0.20103319123678642
20,rank,section,auc_rank,2.0,0.0,2.0,2.0
20,rank,section,acc_rank,1.95,0.21794494717703367,1.0,2.0
20,rank,section,mix_at_k_rank,2.5833333333333335,0.6400954789890507,1.0,3.0
20,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
20,rank,section,js_divergence_rank,1.3333333333333333,0.74535599249993,1.0,3.0
20,metric,imports,acc,0.8724268218991429,0.015904606581141897,0.8392103004291845,0.8971044643770676
20,metric,imports,f1,0.8519196712418289,0.0221578102920808,0.8046851622280169,0.8861638305097536
20,metric,imports,auc,0.9303252671483688,0.009637321704672566,0.9112483657817111,0.9438516693831185
20,metric,imports,positive_rate,0.385210535747276,0.020038256639860585,0.34339899926519474,0.4161522458306333
20,metric,imports,mix_at_k,0.17496655407544512,0.01836451746944366,0.1440408098813952,0.22656223175965665
20,metric,imports,silhouette,0.03179187151741178,0.019516119468932527,0.013194434960076667,0.08060702848216857
20,metric,imports,js_divergence,0.037776618491332674,0.00827582107669139,0.024563529926045154,0.05480393614630924
20,rank,imports,auc_rank,5.0,0.0,5.0,5.0
20,rank,imports,acc_rank,5.0,0.0,5.0,5.0
20,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
20,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
20,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
20,metric,strings,acc,0.9133571405510948,0.011986864482147372,0.8941534373033079,0.9348930800450189
