mix_k,scope,feature_group,metric,mean,std,min,max
15,metric,header,mix_at_k,0.08842877777777777,0.005835088155628038,0.07676,0.09630666666666667
15,metric,header,silhouette,0.11739159981168841,0.038990244048629476,0.06832454133074779,0.20279649232774138
15,metric,header,js_divergence,0.08158102838046158,0.01262034812097472,0.06035469125537132,0.10080397314125852
15,rank,header,auc_rank,3.0,0.0,3.0,3.0
15,rank,header,acc_rank,3.0,0.0,3.0,3.0
15,rank,header,mix_at_k_rank,1.95,0.6435578192102608,1.0,3.0
15,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
15,rank,header,js_divergence_rank,2.85,0.3570714214271425,2.0,3.0
15,metric,section,acc,0.9457629166666667,0.007818196578690989,0.930925,0.9577
15,metric,section,f1,0.9444134368892347,0.00815763349343143,0.92961253177032,0.9568385650224215
15,metric,section,auc,0.9894418692291667,0.002780641626889498,0.98306629875,0.9934368712499999
15,metric,section,positive_rate,0.4761320833333333,0.005803960737552895,0.461975,0.4881
15,metric,section,score_std,0.4370151619262655,0.008922027620122393,0.42546466810349187,0.45316472893335635
15,metric,section,degenerate_prediction,0.0,0.0,0.0,0.0
15,metric,section,mix_at_k,0.08998277777777776,0.005041625460498887,0.07987,0.099385
15,metric,section,silhouette,0.07380124874527257,0.01815955776200821,0.05236187826692238,0.1171711570300041
15,metric,section,js_divergence,0.11788678586013551,0.03849180036671445,0.06397049816122019,0.23417991120241338
15,rank,section,auc_rank,2.0,0.0,2.0,2.0
15,rank,section,acc_rank,1.8833333333333333,0.32102267140430374,1.0,2.0
15,rank,section,mix_at_k_rank,2.8,0.4,2.0,3.0
15,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
15,rank,section,js_divergence_rank,1.3,0.714142842854285,1.0,3.0
15,metric,imports,acc,0.8710787500000001,0.016504323186794626,0.836275,0.8967
15,metric,imports,f1,0.8566734387325676,0.02157777793173854,0.8099370229561482,0.8883363960652902
15,metric,imports,auc,0.9329210472916666,0.009156812106787721,0.90967831,0.9446460050000001
15,metric,imports,positive_rate,0.40229708333333336,0.019581746438364196,0.361425,0.429775
15,metric,imports,score_std,0.364578933329466,0.008144588745244772,0.3462383801506663,0.3784210123972637
15,metric,imports,degenerate_prediction,0.0,0.0,0.0,0.0
15,metric,imports,mix_at_k,0.17959455555555556,0.020021881016330578,0.14160166666666665,0.22242666666666666
15,metric,imports,silhouette,0.03558756363110661,0.015930844273145738,0.021289945229214288,0.0781192130559892
15,metric,imports,js_divergence,0.03721578965291339,0.007908935329942416,0.02390193354153535,0.053917900403113166
15,rank,imports,auc_rank,5.0,0.0,5.0,5.0
15,rank,imports,acc_rank,5.0,0.0,5.0,5.0
15,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
15,rank,imports,silhouette_rank,4.683333333333334,0.5913731666403389,3.0,5.0
15,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
15,metric,strings,acc,0.9134929166666667,0.011970442845180045,0.89435,0.93595
15,metric,strings,f1,0.9104566958800046,0.012665503364191552,0.8892499606897636,0.9341286573764591
15,metric,strings,auc,0.9759835195416665,0.006235171700503914,0.96535429625,0.9870155537499999
15,metric,strings,positive_rate,0.46653958333333334,0.00805820659802098,0.4538,0.482575
15,metric,strings,score_std,0.38839921468359306,0.012866667939234602,0.3650718946313196,0.4105017397216175
15,metric,strings,degenerate_prediction,0.0,0.0,0.0,0.0
15,metric,strings,mix_at_k,0.11059452777777778,0.00710626782607404,0.09508,0.12026166666666667
15,metric,strings,silhouette,0.050739339082919686,0.014256925862737902,0.031497130270741885,0.08406233551341229
15,metric,strings,js_divergence,0.0004943524296359216,0.00019966908082129665,0.00026105276929801516,0.0010678721289805282
15,rank,strings,auc_rank,4.0,0.0,4.0,4.0
15,rank,strings,acc_rank,4.0,0.0,4.0,4.0
15,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
15,rank,strings,silhouette_rank,3.1166666666666667,0.32102267140430374,3.0,4.0
15,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
15,metric,all,acc,0.9489420833333333,0.007364351764393266,0.933325,0.962125
15,metric,all,f1,0.9475628581101226,0.007791002672702524,0.9322769863639826,0.9613747036177753
15,metric,all,auc,0.9913790967291668,0.002330006815144411,0.9848893200000002,0.99505796125
15,metric,all,positive_rate,0.4743462500000001,0.007260872343424033,0.454525,0.484525
15,metric,all,score_std,0.4218553138695016,0.011096664678319153,0.4057705246264691,0.4422764889821637
15,metric,all,degenerate_prediction,0.0,0.0,0.0,0.0
15,metric,all,mix_at_k,0.08705700000000001,0.00512068649369073,0.07730333333333334,0.09473
15,metric,all,silhouette,0.039285327305177316,0.017608107088819387,0.020147834125039486,0.08408425108021224
15,metric,all,js_divergence,0.08203745022951955,0.012500420462649141,0.06064969021501569,0.10109806106333613
15,rank,all,auc_rank,1.0,0.0,1.0,1.0
15,rank,all,acc_rank,1.1166666666666667,0.32102267140430374,1.0,2.0
15,rank,all,mix_at_k_rank,1.25,0.4699290726623895,1.0,3.0
15,rank,all,silhouette_rank,4.2,0.5099019513592785,3.0,5.0
15,rank,all,js_divergence_rank,1.85,0.3570714214271425,1.0,2.0
20,metric,header,acc,0.9319416666666669,0.010960545404109942,0.9104,0.94845
20,metric,header,f1,0.9295570691099054,0.012012854869296938,0.9044521460943749,0.9473845368716509
20,metric,header,auc,0.9836406489791668,0.00441244334064355,0.9751240375,0.9901241125000001
20,metric,header,positive_rate,0.46772,0.01116606167515357,0.43775,0.483975
20,metric,header,score_std,0.4379220616231846,0.009117396114440634,0.42569453768473947,0.4548127906076244
20,metric,header,degenerate_prediction,0.0,0.0,0.0,0.0
20,metric,header,mix_at_k,0.09539356249999999,0.006042861313605399,0.0827175,0.10408375
20,metric,header,silhouette,0.11739159981168841,0.038990244048629476,0.06832454133074779,0.20279649232774138
20,metric,header,js_divergence,0.08158102838046158,0.01262034812097472,0.06035469125537132,0.10080397314125852
20,rank,header,auc_rank,3.0,0.0,3.0,3.0
20,rank,header,acc_rank,3.0,0.0,3.0,3.0
20,rank,header,mix_at_k_rank,1.7166666666666666,0.6348665651580303,1.0,3.0
20,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
20,rank,header,js_divergence_rank,2.85,0.3570714214271425,2.0,3.0
20,metric,section,acc,0.9457629166666667,0.007818196578690989,0.930925,0.9577
20,metric,section,f1,0.9444134368892347,0.00815763349343143,0.92961253177032,0.9568385650224215
20,metric,section,auc,0.9894418692291667,0.002780641626889498,0.98306629875,0.9934368712499999
20,metric,section,positive_rate,0.4761320833333333,0.005803960737552895,0.461975,0.4881
20,metric,section,score_std,0.4370151619262655,0.008922027620122393,0.42546466810349187,0.45316472893335635
20,metric,section,degenerate_prediction,0.0,0.0,0.0,0.0
20,metric,section,mix_at_k,0.09767660416666667,0.005491211643824549,0.086095,0.10739625
20,metric,section,silhouette,0.07380124874527257,0.01815955776200821,0.05236187826692238,0.1171711570300041
20,metric,section,js_divergence,0.11788678586013551,0.03849180036671445,0.06397049816122019,0.23417991120241338
20,rank,section,auc_rank,2.0,0.0,2.0,2.0
20,rank,section,acc_rank,1.8833333333333333,0.32102267140430374,1.0,2.0
20,rank,section,mix_at_k_rank,2.8833333333333333,0.32102267140430374,2.0,3.0
20,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
20,rank,section,js_divergence_rank,1.3,0.714142842854285,1.0,3.0
20,metric,imports,acc,0.8710787500000001,0.016504323186794626,0.836275,0.8967
20,metric,imports,f1,0.8566734387325676,0.02157777793173854,0.8099370229561482,0.8883363960652902
20,metric,imports,auc,0.9329210472916666,0.009156812106787721,0.90967831,0.9446460050000001
20,metric,imports,positive_rate,0.40229708333333336,0.019581746438364196,0.361425,0.429775
20,metric,imports,score_std,0.364578933329466,0.008144588745244772,0.3462383801506663,0.3784210123972637
20,metric,imports,degenerate_prediction,0.0,0.0,0.0,0.0
20,metric,imports,mix_at_k,0.18691922916666667,0.01860583340017832,0.15549375,0.22857125
20,metric,imports,silhouette,0.03558756363110661,0.015930844273145738,0.021289945229214288,0.0781192130559892
20,metric,imports,js_divergence,0.03721578965291339,0.007908935329942416,0.02390193354153535,0.053917900403113166
20,rank,imports,auc_rank,5.0,0.0,5.0,5.0
20,rank,imports,acc_rank,5.0,0.0,5.0,5.0
20,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
20,rank,imports,silhouette_rank,4.683333333333334,0.5913731666403389,3.0,5.0
20,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
20,metric,strings,acc,0.9134929166666667,0.011970442845180045,0.89435,0.93595
20,metric,strings,f1,0.9104566958800046,0.012665503364191552,0.8892499606897636,0.9341286573764591
20,metric,strings,auc,0.9759835195416665,0.006235171700503914,0.96535429625,0.9870155537499999
20,metric,strings,positive_rate,0.46653958333333334,0.00805820659802098,0.4538,0.482575
20,metric,strings,score_std,0.38839921468359306,0.012866667939234602,0.3650718946313196,0.4105017397216175
20,metric,strings,degenerate_prediction,0.0,0.0,0.0,0.0
20,metric,strings,mix_at_k,0.1185488125,0.00778260684764765,0.10182125,0.1289875
20,metric,strings,silhouette,0.050739339082919686,0.014256925862737902,0.031497130270741885,0.08406233551341229
20,metric,strings,js_divergence,0.0004943524296359216,0.00019966908082129665,0.00026105276929801516,0.0010678721289805282
20,rank,strings,auc_rank,4.0,0.0,4.0,4.0
20,rank,strings,acc_rank,4.0,0.0,4.0,4.0
20,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
20,rank,strings,silhouette_rank,3.1166666666666667,0.32102267140430374,3.0,4.0
20,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
20,metric,all,acc,0.9489420833333333,0.007364351764393266,0.933325,0.962125
20,metric,all,f1,0.9475628581101226,0.007791002672702524,0.9322769863639826,0.9613747036177753
20,metric,all,auc,0.9913790967291668,0.002330006815144411,0.9848893200000002,0.99505796125
20,metric,all,positive_rate,0.4743462500000001,0.007260872343424033,0.454525,0.484525
20,metric,all,score_std,0.4218553138695016,0.011096664678319153,0.4057705246264691,0.4422764889821637
20,metric,all,degenerate_prediction,0.0,0.0,0.0,0.0
20,metric,all,mix_at_k,0.09486222916666666,0.00543988831213696,0.08436,0.10289875
20,metric,all,silhouette,0.039285327305177316,0.017608107088819387,0.020147834125039486,0.08408425108021224
20,metric,all,js_divergence,0.08203745022951955,0.012500420462649141,0.06064969021501569,0.10109806106333613
20,rank,all,auc_rank,1.0,0.0,1.0,1.0
20,rank,all,acc_rank,1.1166666666666667,0.32102267140430374,1.0,2.0
20,rank,all,mix_at_k_rank,1.4,0.5228129047119374,1.0,3.0
20,rank,all,silhouette_rank,4.2,0.5099019513592785,3.0,5.0
20,rank,all,js_divergence_rank,1.85,0.3570714214271425,1.0,2.0
